Esecuzione, Risultato
1, 1.552868127822876
2, 1.5915248394012451
3, 1.566300868988037
4, 1.5726208686828613
5, 1.5637249946594238
6, 1.5870492458343506
7, 1.5732452869415283
8, 1.5766048431396484
9, 1.5781066417694092
10, 1.5659263134002686
