Esecuzione, Risultato
1, 1.7087147235870361
2, 1.6278975009918213
3, 1.5445551872253418
4, 1.5984845161437988
5, 1.5132076740264893
6, 1.6861364841461182
7, 1.6588332653045654
8, 1.8127949237823486
9, 1.655224084854126
10, 1.7040646076202393
