Esecuzione, Risultato
1, 1.695124864578247
2, 1.623884916305542
3, 1.5409770011901855
4, 1.4168322086334229
5, 1.560926914215088
6, 1.5456957817077637
7, 1.497560977935791
8, 1.5394723415374756
9, 1.5138235092163086
10, 1.5914294719696045
