Esecuzione,Risultato
1, 2.273805618286133
2, 2.276017189025879
3, 2.288007974624634
4, 2.292780637741089
5, 2.298710823059082
6, 2.3038296699523926
7, 2.247631072998047
8, 2.2617928981781006
9, 2.2626864910125732
10, 2.2561440467834473
